t,T,S,o,position,trading_action,current_capital,stop_loss_out_signal,rsi,open_small_indicator,open_big_indicator,open_norm,gain_loss,gain,loss,avg_gain,avg_loss,amount_sold,amount_bought
2023-12-13T00:01:00Z,b,MARA,14.95,out,no_action,0.0,no_stop_loss_out_signal,,,,1.0755055988006847,,0.0,-0.0,,,,
2023-12-13T00:02:00Z,b,MARA,14.92,,,,,,,,0.8647474687335645,-0.02999999999999936,0.0,0.02999999999999936,,,,
2023-12-13T00:03:00Z,b,MARA,14.95,,,,,,,,1.0755055988006847,0.02999999999999936,0.02999999999999936,-0.0,,,,
2023-12-13T00:07:00Z,b,MARA,14.95,,,,,,,,1.0755055988006847,0.0,0.0,-0.0,,,,
2023-12-13T00:08:00Z,b,MARA,14.95,,,,,,,,1.0755055988006847,0.0,0.0,-0.0,,,,
2023-12-13T00:11:00Z,b,MARA,14.93,,,,,,,,0.9350001787559379,-0.019999999999999574,0.0,0.019999999999999574,,,,
2023-12-13T00:12:00Z,b,MARA,14.93,,,,,,,,0.9350001787559379,0.0,0.0,-0.0,,,,
2023-12-13T00:15:00Z,b,MARA,14.94,,,,,,,,1.0052528887783112,0.009999999999999787,0.009999999999999787,-0.0,,,,
2023-12-13T00:16:00Z,b,MARA,14.94,,,,,,,,1.0052528887783112,0.0,0.0,-0.0,,,,
2023-12-13T00:21:00Z,b,MARA,14.9305,,,,,,-0.013910036584429774,,0.9385128142570609,-0.009499999999999176,0.0,0.009499999999999176,,,,
2023-12-13T00:22:00Z,b,MARA,14.93,,,,,,-0.008289819782639919,,0.9350001787559379,-0.0005000000000006111,0.0,0.0005000000000006111,,,,
2023-12-13T00:23:00Z,b,MARA,14.9597,out,,,,53.73939861218221,-0.002753906232876613,,1.1436507275223917,0.02970000000000006,0.02970000000000006,-0.0,0.005808333333333267,0.004999999999999893,,
2023-12-13T00:28:00Z,b,MARA,14.93,out,no_action,26000.0,,43.7264742785446,-0.0027539062328766793,,0.9350001787559379,-0.02970000000000006,0.0,0.02970000000000006,0.005808333333333267,0.007474999999999898,,
2023-12-13T00:30:00Z,b,MARA,14.95,out,no_action,26000.0,,60.040160642570186,0.002866310568913244,,1.0755055988006847,0.019999999999999574,0.019999999999999574,-0.0,0.007474999999999898,0.004974999999999952,,
2023-12-13T00:31:00Z,b,MARA,14.95,out,no_action,26000.0,,50.0,0.013825733332403112,,1.0755055988006847,0.0,0.0,-0.0,0.004974999999999952,0.004974999999999952,,
2023-12-13T00:32:00Z,b,MARA,14.95,out,no_action,26000.0,,50.0,0.019445950134193014,,1.0755055988006847,0.0,0.0,-0.0,0.004974999999999952,0.004974999999999952,,
