Symbol,Name,Last Sale,Net Change,% Change,Market Cap,Country,IPO Year,Volume,Sector,Industry
GME,GameStop Corporation Common Stock,$16.46,-0.38,-2.257%,5024271699.00,United States,2002,3388568,Consumer Discretionary,Electronics Distribution
GTLB,GitLab Inc. Class A Common Stock,$45.22,1.23,2.796%,6995534000.00,United States,2021,1433034,Technology,EDP Services
SAVE,Spirit Airlines Inc. Common Stock,$16.50,0.42,2.612%,1801155956.00,United States,,1480164,Consumer Discretionary,Air Freight/Delivery Services
