Symbol,Name,Last Sale,Net Change,% Change,Market Cap,Country,IPO Year,Volume,Sector,Industry
AI,C3.ai Inc. Class A Common Stock,$25.52,0.36,1.431%,3016509017.00,United States,2020,6657843,Technology,Computer Software: Prepackaged Software
YPF,YPF Sociedad Anonima Common Stock,$12.25,-0.37,-2.932%,4817447042.00,Argentina,1993,2069419,Energy,Integrated oil Companies
