Symbol,Name,Last Sale,Net Change,% Change,Market Cap,Country,IPO Year,Volume,Sector,Industry
GPS,Gap Inc. (The) Common Stock,$10.63,0.05,0.473%,3931831256.00,United States,,5183234,Consumer Discretionary,Clothing/Shoe/Accessory Stores
SAVE,Spirit Airlines Inc. Common Stock,$16.50,0.42,2.612%,1801155956.00,United States,,1480164,Consumer Discretionary,Air Freight/Delivery Services
