Symbol,Name,Last Sale,Net Change,% Change,Market Cap,Country,IPO Year,Volume,Sector,Industry
BXMT,Blackstone Mortgage Trust Inc. Common Stock,$21.75,-0.03,-0.138%,3747775734.00,United States,,2558525,Real Estate,Real Estate Investment Trusts
RIVN,Rivian Automotive Inc. Class A Common Stock,$24.28,1.20,5.199%,23020751573.00,United States,2021,35812161,Consumer Discretionary,Auto Manufacturing
ZI,ZoomInfo Technologies Inc Common Stock,$16.40,0.06,0.367%,6584099652.00,United States,2020,4056534,Technology,Computer Software: Prepackaged Software
