Symbol,Name,Last Sale,Net Change,% Change,Market Cap,Country,IPO Year,Volume,Sector,Industry
CHWY,Chewy Inc. Class A Common Stock,$18.26,-0.01,-0.055%,7857830767.00,United States,2019,6584430,Consumer Discretionary,Catalog/Specialty Distribution
GME,GameStop Corporation Common Stock,$16.46,-0.38,-2.257%,5024271699.00,United States,2002,3388568,Consumer Discretionary,Electronics Distribution
